Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Internet_Access,Final_Result,Department_AI&ML,Department_Computer Science,Department_Information Technology
S001,0,0.33333333333333304,0.33333333333333337,0.6976744186046511,0.588235294117647,1,1,1,0,0
S002,1,0.0,0.6666666666666666,0.8604651162790695,0.7647058823529411,1,1,0,1,0
S003,0,0.6666666666666661,0.16666666666666666,0.3023255813953487,0.2549019607843137,0,0,1,0,0
S004,1,0.33333333333333304,0.8333333333333334,0.9302325581395348,0.9019607843137256,1,1,0,1,0
S005,0,0.0,0.5,0.5348837209302324,0.4509803921568627,1,1,0,0,1
S006,1,0.6666666666666661,0.33333333333333337,0.627906976744186,0.5490196078431373,0,1,1,0,0
S007,0,0.33333333333333304,0.0,0.11627906976744184,0.11764705882352944,0,0,0,0,1
S008,1,0.0,0.9999999999999999,1.0,0.9607843137254901,1,1,0,1,0
S009,0,1.0,0.16666666666666666,0.39534883720930214,0.3137254901960784,1,0,1,0,0
S010,1,0.33333333333333304,0.6666666666666666,0.7906976744186047,0.7254901960784315,1,1,0,0,1
S011,0,0.6666666666666661,0.44000000000000006,0.4651162790697674,0.392156862745098,1,1,1,0,0
S012,1,0.0,0.5,0.5683720930232556,0.6274509803921569,1,1,0,1,0
S013,0,0.33333333333333304,0.16666666666666666,0.2325581395348837,0.17647058823529416,0,0,0,0,1
S014,1,0.6666666666666661,0.8333333333333334,0.9069767441860463,0.8627450980392157,1,1,1,0,0
S015,0,0.0,0.33333333333333337,0.5813953488372092,0.4901960784313726,1,1,0,1,0
S016,1,0.33333333333333304,0.6666666666666666,0.8372093023255811,0.7843137254901962,1,1,0,0,1
S017,0,1.0,0.0,0.0,0.05882352941176472,0,0,1,0,0
S018,1,0.0,0.9999999999999999,0.9767441860465116,1.0,1,1,0,1,0
S019,0,0.6666666666666661,0.16666666666666666,0.34883720930232553,0.23529411764705888,0,0,0,0,1
S020,1,0.33333333333333304,0.5,0.7209302325581395,0.6666666666666667,1,1,1,0,0
S021,0,0.0,0.33333333333333337,0.5581395348837208,0.43137254901960786,1,1,0,1,0
S022,1,0.6666666666666661,0.8333333333333334,0.8837209302325579,0.9215686274509804,1,1,0,0,1
S023,0,0.33333333333333304,0.0,0.06976744186046502,0.0,0,0,1,0,0
S024,1,0.0,0.6666666666666666,0.8139534883720931,0.7450980392156863,1,1,0,1,0
S025,0,0.6666666666666661,0.16666666666666666,0.2790697674418603,0.1568627450980392,0,0,0,0,1
